,artist_id,artist_name,id,key,energy,liveness,tempo,speechiness,acousticness,instrumentalness,mode,time_signature,duration,loudness,valence,danceability,title,decade
1,ARTH9041187FB43E1F,Eminem,SOTITAT144C281345F,2,0.478829,0.082686,85.7,0.201306,0.001771,2.60E-05,1,4,265.74322,-14.581,0.165595,0.776651,Lose Yourself,2000s
2,ARKU3Z61187FB51DCA,Rihanna,SODETSB15069FF687E,1,0.671218,0.960946,86.351,0.147784,0.011408,0,1,4,357.19256,-11.076,0.404953,0.319793,Umbrella,2000s
3,AR7R9CZ1187FB49EC2,Leona Lewis,SOCXKFM144BE6348DE,5,0.739428,0.143196,104,0.034736,0.150089,0,1,4,239.50667,-4.048,0.284632,0.669959,Bleeding Love,2000s
4,ARX6TAQ11C8A415850,Lady Gaga,SOLZSKI1460D0A2977,8,0.805974,0.109601,119.003,0.073482,0.124247,2.00E-06,0,4,237.35438,-4.901,0.781541,0.853247,Poker Face,2000s
5,AR3MSAN1187B98F06B,OutKast,SOGWIPI13FAE3BB504,0,0.974257,0.277502,158.872,0.036747,0.033849,0.01766,1,4,134.73914,-2.343,0.931686,0.645912,Hey Ya!,2000s
6,ARPDVPJ1187B9ADBE9,Usher,SOZPZUG13E9064056E,5,0.570809,0.039566,105.015,0.329243,0.026457,0,0,4,174.48,-10.197,0.599186,0.845517,Yeah!,2000s
7,ARTH9041187FB43E1F,Eminem,SOVMJTK13E9060238E,7,0.453362,0.090148,112.259,0.199097,0.005245,0,1,4,299.32757,-11.091,0.707749,0.90288,Without Me,2000s
8,AR23C041187FB4D534,50 Cent,SOCLROX133EB876FA7,1,0.457473,0.079663,90.015,0.364349,0.036379,0,0,4,224.07256,-11.959,0.782038,0.913415,In Da Club,2000s
9,AR0IVTL1187B9AD520,Katy Perry,SOCQTLC135A685460A,9,0.755734,0.075689,130.001,0.091215,0.003078,0,0,4,181.35946,-4.3,0.722645,0.681833,I Kissed a Girl,2000s
10,ARTDQRC1187FB4EFD4,The Black Eyed Peas,SOJEXQZ136E707083C,0,0.655445,0.333971,129.773,0.044991,0.05244,0,1,4,279.10667,-5.925,0.776853,0.752687,I Gotta Feeling,2000s
11,ARTDQRC1187FB4EFD4,The Black Eyed Peas,SOYJXNH1374B347067,5,0.634243,0.063318,94.1,0.172764,0.176599,0,1,4,229.90667,-5.397,0.896598,0.849271,Where Is The Love?,2000s
12,ARMRCET1187FB52049,Fergie,SOAVFVI13AA508D4DB,7,0.370052,0.11059,117.83,0.052183,0.206598,0,1,4,255.68608,-15.96,0.428581,0.696293,Big Girls Don't Cry,2000s
13,AR1IJ1Z11C8A41500D,Flo Rida,SOTVSGJ144BF2A13BB,10,0.535096,0.188485,85.338,0.391151,0.395134,5.00E-06,0,5,228.62322,-5.953,0.482241,0.79096,Low (Feat. T-Pain) (Album Version),2000s
14,AR9LJ9D1187FB4303D,Sean Kingston,SOLCZCF144B0216115,1,0.398486,0.124334,130.015,0.121048,0.271024,0,0,4,257.42404,-13.635,0.782,0.78707,Beautiful Girls,2000s
15,AR6PJ8R1187FB5AD70,Shakira,SOIZYSB13E907EE542,10,0.973665,0.952858,99.996,0.125025,0.057273,1.20E-05,0,4,436.02667,-4.778,0.443812,0.665074,Hips Don't Lie (feat. Wyclef Jean),2000s
16,ARWK5QH1187B9A9B7F,Justin Timberlake,SOAPNHS144BF022BBA,5,0.512472,0.116256,116.891,0.233788,0.161622,0,1,4,265.84803,-10.814,0.919686,0.968045,SexyBack,2000s
17,AR65K7A1187FB4DAA4,Beyoncͩ,SOUEDZW144BF02E376,2,0.839425,0.065724,99.241,0.103683,0.005918,0.923501,0,4,251.68,-5.452,0.43007,0.716999,Crazy In Love,2000s
18,AR8V1X71187B9B919B,Kylie Minogue,SOVWGKT147F6FCA999,9,0.610645,0.220004,126.021,0.033003,0.000749,0.870475,0,4,229.67955,-6.583,0.960835,0.744249,Can't Get You out of My Head,2000s
19,ARPAAHK1187B9ABB00,Nickelback,SOXWEKB144BD70EAAC,10,0.698555,0.06196,171.631,0.027902,0.000671,0,1,4,224.82667,-6.418,0.436319,0.462505,How You Remind Me,2000s
20,ARBEOHF1187B9B044D,Madonna,SOSCOHV14788D04897,9,0.640065,0.057918,125.017,0.048451,0.004731,0.277858,0,4,337.76281,-7.713,0.469361,0.649256,Hung Up,2000s
21,ARBEOHF1187B9B044D,Madonna,SOSGYSS12A6701FA4A,7,0.832594,0.200495,119.847,0.064422,0.001321,0.082446,1,4,224.24,-8.166,0.86382,0.733638,Music,2000s
22,ARY53RR1187B9AE485,Avril Lavigne,SOBRPCD144B06354C9,7,0.962802,0.248188,163.983,0.112242,0.000968,0.000106,1,4,216.68,-1.869,0.65537,0.553131,Girlfriend,2000s
23,AR6PJ8R1187FB5AD70,Shakira,SOTBSMB144AD5695D3,1,0.830781,0.239348,107.661,0.043119,0.313125,1.00E-06,0,4,196.89333,-5.02,0.869749,0.783009,"Whenever, Wherever",2000s
24,ARCBD0U1187FB466EF,Nelly,SOHTKIH143110E586A,7,0.533259,0.205029,84.031,0.121592,0.444193,4.00E-06,1,4,288.73288,-11.638,0.614765,0.754255,Dilemma featuring Kelly Rowland (Radio Edit),2000s
25,ARLK6VL1187B9B8850,Timbaland,SOAHATS14605DEDF8F,8,0.558068,0.091263,118.017,0.029434,0.038555,0,1,4,184.61333,-7.474,0.123847,0.657365,Apologize,2000s
26,AR0DVRJ1187B98CBF5,The Pussycat Dolls,SOIPHVH13E9063C12F,1,0.274572,0.137517,120,0.169638,0.005005,2.00E-06,0,4,282.84757,-17.933,0.589006,0.87137,Don't Cha,2000s
27,ARX6TAQ11C8A415850,Lady Gaga,SOVDHXE1374C4E4245,11,0.318333,0.098653,119.017,0.037184,0.346552,0.859791,0,4,202.34404,-18.414,0.813026,0.784153,JUST DANCE,2000s
28,ARX6TAQ11C8A415850,Lady Gaga,SOWLPNC13E37458CC4,9,0.86246,0.215779,127.982,0.033803,0.001147,0.130397,0,4,233.78621,-5.465,0.796201,0.650942,Bad Romance,2000s
29,ARVBII51187FB540BC,t.A.T.u.,SOKJXCE144BEFA3D5B,5,0.806756,0.10392,89.973,0.036352,0.031125,0.003183,0,4,213.33333,-6.827,0.432027,0.602084,All The Things She Said,2000s
30,ARUZYQZ12F129957C8,Pink Ball,SOEHUMK1366F636FE6,6,0.686987,0.311424,79.376,0.04781,0.000537,0.452934,1,4,170.64558,-4.681,0.633202,0.468927,So What,2000s
31,AR0S7TA1187FB4D024,Christina Aguilera,SOPXAUL14373B70B32,2,0.760811,0.604819,113.003,0.065144,0.014077,1.00E-06,0,4,249.07156,-8.187,0.820036,0.598303,Lady Marmalade,2000s
32,ARUJ5A41187FB3F5F1,U2,SOLJJFV1404699CAFE,2,0.893886,0.985074,136.085,0.044965,0.111283,0.001081,1,4,305.15959,-5.487,0.367216,0.451347,Beautiful Day,2000s
33,ARQWJK41187FB47D80,Gnarls Barkley,SOBKMKP14509A7F36E,8,0.610644,0.11169,111.989,0.035193,0.039484,0.022974,1,4,180.33333,-4.228,0.646036,0.846379,Crazy,2000s
34,ARS57XV1187B9B8535,James Blunt,SOQGFBI14011485F7F,3,0.568842,0.968389,79.229,0.026418,0.328713,6.70E-05,1,4,230.86975,-8.842,0.314375,0.478369,You're Beautiful,2000s
35,ARY53RR1187B9AE485,Avril Lavigne,SOZVMMI14373B6B09E,5,0.67196,0.352707,77.981,0.068154,0.098254,1.00E-06,1,4,252.19156,-10.097,0.551295,0.547853,Complicated,2000s
36,AR65K7A1187FB4DAA4,Beyoncͩ,SOLXVFC13E907ED722,10,0.584008,0.094437,175.598,0.477553,0.182382,0,1,4,252.16757,-9.182,0.546713,0.429176,Irreplaceable,2000s
37,ARH2QI91187FB3788D,David Guetta,SODMJWV13ED5163C57,11,0.503974,0.171074,127.844,0.071424,0.061464,0.00056,0,4,183.97333,-9.729,0.662732,0.728718,Sexy Chick - featuring Akon,2000s
38,AR65K7A1187FB4DAA4,Beyoncͩ,SOKVZYK14305C22147,1,0.711582,0.054991,91.992,0.070835,0.008002,0.000265,1,4,207.31202,-6.154,0.456304,0.756361,Beautiful Liar,2000s
39,ARBEOHF1187B9B044D,Madonna,SOOJKXO12A8C13AEC1,2,0.911173,0.06029,113.032,0.071664,0.005918,0.001535,1,4,245.08,-4.873,0.800557,0.704973,4 Minutes (feat. Justin Timberlake and Timbaland),2000s
40,ARTIUGO140C3350492,PINK,SOUNBZB1506DBA33CE,6,0.897285,0.124962,128.91,0.075531,0.000411,0.434261,0,4,487.06667,-6.106,0.937069,0.693028,Get The Party Started (Almighty Mix),2000s
41,ARORMBJ1241B9CDB1A,Ke$ha,SOALKXC144DFE098F0,0,0.595784,0.128263,135.999,0.279671,0.003997,0.001343,1,4,300.22667,-5.473,0.502726,0.6098,TiK ToK (Untold Remix),2000s
42,ARWG0541187FB364EC,Las Ketchup,SOFLTLE13AC135D0F3,10,0.776991,0.108728,184.041,0.050482,0.000769,0.838627,0,4,209.07202,-9.675,0.945779,0.645386,The Ketchup Song (Asereje),2000s
43,AR0S7TA1187FB4D024,Christina Aguilera,SOPUOFX135C3A7B2A8,5,0.845975,0.46647,132.053,0.050048,0.01782,0.000254,0,4,236.51955,-4.112,0.230497,0.551281,Beautiful,2000s
44,AR52EZT1187B9900BF,Alicia Keys,SOTBFFM13E943A6310,9,0.816713,0.362044,94.845,0.045315,0.263542,0,1,4,238.56,-4.524,0.563325,0.470296,No One,2000s
45,ARVXU2X1187B9AE6D8,Evanescence,SOAPJQO13E907D9651,4,0.918432,0.110507,95.083,0.081195,0.011616,3.30E-05,0,4,252.86404,-7.036,0.174132,0.292108,Bring Me To Life,2000s
46,AR0IVTL1187B9AD520,Katy Perry,SOCCGPQ1312A8A57EB,7,0.834878,0.068561,132.004,0.04289,6.90E-05,0,1,4,220.89333,-3.953,0.859547,0.700636,Hot N Cold,2000s
47,AR1IJ1Z11C8A41500D,Flo Rida,SOPFSJP13A18D33C7C,7,0.442159,0.240229,128.872,0.071858,0.009818,0,1,4,197.17179,-17.016,0.830631,0.663643,Right Round,2000s
48,AR03BDP1187FB5B324,Britney Spears,SOFWFZJ1369412E3F7,1,0.937288,0.357691,135.011,0.030838,2.70E-05,0.856002,1,4,218.74621,-7.474,0.93841,0.564215,Toxic,2000s
49,AR5Q8K21187B9B4E37,Daniel Powter,SOCUEKL12A6701F24D,3,0.783249,0.156289,139.995,0.032247,0.520276,0.003617,1,4,234.36,-4.298,0.548952,0.5728,Bad Day,2000s
50,ARTDQRC1187FB4EFD4,The Black Eyed Peas,SOBKCPD140469980AA,9,0.937648,0.186792,130.062,0.16519,0.14636,1.00E-06,1,4,204.87959,-5.14,0.427276,0.897314,Boom Boom Pow,2000s
51,AR52EZT1187B9900BF,Alicia Keys,SOZMNTH144F500DEE4,4,0.601725,0.963441,178.348,0.076379,0.094984,0.008836,0,3,284.36,-8.078,0.314776,0.303706,Fallin',2000s
52,ARKU3Z61187FB51DCA,Rihanna,SOIRLYL13E90795641,6,0.457706,0.230007,122.679,0.091691,0.111861,5.10E-05,0,4,233.24757,-14.946,0.749631,0.826338,Don't Stop The Music,2000s
53,ARKSZW81187B9B695D,Mariah Carey,SOJUNQL136673EC251,9,0.870555,0.120521,127.966,0.065461,0.064616,0.000156,0,4,262.89333,-3.415,0.79264,0.691493,We Belong Together,2000s
54,ARV3CRH1187B9A1B21,Green Day,SOFIIHC1311AFE4BA8,8,0.631084,0.04031,166.877,0.028406,0.002787,3.30E-05,1,4,261.72,-6.115,0.533273,0.48521,Boulevard Of Broken Dreams,2000s
55,ARRH63Y1187FB47783,Kanye West,SOEJTNJ144D13492C9,1,0.591883,0.519208,108.495,0.161112,0.018001,0,1,4,246.10667,-9.303,0.35792,0.411862,Stronger,2000s
56,ARCGJ6U1187FB4D01F,Akon,SOVWDLO144F4B47B0B,5,0.546067,0.610145,90.101,0.035453,0.31387,0,0,4,213.22621,-7.825,0.611229,0.62316,Lonely,2000s
57,ARHFCP01187B994361,*NSync,SOKMZRR13D5B3C7DE3,8,0.916703,0.368528,172.88,0.055778,0.013474,6.00E-06,0,4,192.4,-3.629,0.844924,0.577955,Bye Bye Bye,2000s
58,ARAOYXM1187FB524F6,Nelly Furtado,SOOXUQH144BE5362B3,10,0.975756,0.583947,114.305,0.047651,0.102893,2.10E-05,0,4,219.89297,-4.57,0.812868,0.795387,Promiscuous,2000s
59,ARAOYXM1187FB524F6,Nelly Furtado,SONTDWG144FD86EC10,5,0.688138,0.073361,117.019,0.054592,0.120518,6.40E-05,0,4,236.52,-6.224,0.643068,0.800811,Say It Right,2000s
60,ARTDQRC1187FB4EFD4,The Black Eyed Peas,SOKHUIW13E90638317,2,0.312793,0.822667,112.977,0.488348,0.161663,0,1,4,269.08757,-22.068,0.648875,0.762451,Shut Up,2000s
61,ARULZ741187B9AD2EF,Elvis Presley,SOQFMIC144B664D1A9,9,0.988198,0.175367,118.401,0.067348,0.000315,0.300473,0,4,210.44,-4.092,0.57978,0.505109,A Little Less Conversation (JXL Radio Edit Remix),2000s
